biography,birthday,deathday,gender,name,place_of_birth,facebook_likes
,1990-01-25,,0,Dustin Ingram,"Southern California, California, USA",427.0
,1990-05-24,,0,F  lix Moati,Paris - France,8.0
,,,0,Cabrina Collesides,,319.0
,1984-09-24,,1,Lara Jean Chorostecki,"Brampton, Ontario, Canada",131.0
,1992-08-31,,0,Justin Hall,Monterey - California - USA,102.0
,,,0,Tina Gilton,,861.0
"Mar  a Canals Barrera   (born Mar  a Pilar Canals; September 28, 1966) is an American actress, voice actress and singer. She is best known for her roles as Theresa Russo in Wizards of Waverly Place, Connie Torres in Camp Rock and Camp Rock 2: The Final Jam, and as the voice of Shayera Hol/Hawkgirl in Justice League and Justice League Unlimited.

Description above from the Wikipedia article Mar  a Canals Barrera, licensed under CC-BY-SA, full list of contributors on Wikipedia",1966-09-28,,0,Maria Canals-Barrera,"Miami, Florida, USA",295.0
,,,2,T.J. Storm,,454.0
Atsuko Maeda is a Japanese singer and actress known for her work in the Japanese idol group AKB48.,1991-07-10,,1,Atsuko Maeda,"Chiba Prefecture, Japan",12.0
"From Wikipedia, the free encyclopedia.   

Mykel Shannon Jenkins (born July 3, 1969) is an American actor, perhaps best known as the winner of the first season of the SOAPnet reality television series I Wanna Be a Soap Star.

Description above from the Wikipedia article  Mykel Shannon Jenkins    licensed under CC-BY-SA, full list of contributors on Wikipedia.",1969-07-03,,2,Mykel Shannon Jenkins,"Louisiana, USA",294.0
,1955-01-01,,0,Gen Seto,,4.0
"Sam Medina is known for his work on  La chute de la Maison Blanche  (2013),  Bad Lieutenant - Escale    la Nouvelle-Orl  ans  (2009) and  Savages  (2012).",,,2,Sam Medina,,354.0
,,,0,Vincent De Paul,,212.0
"From Wikipedia, the free encyclopedia.

Marianne Denicourt (14 May 1966 in Paris) is a French actress, who has appeared in about 50 film and television productions between 1986 and 2009.

She studied under Patrice Ch  reau in 1985-86 at the Ecole du th    tre des Amandiers in the western Paris suburb of Nanterre.

She lives with actor Daniel Auteuil.

Description above from the Wikipedia article Marianne Denicourt, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1966-05-14,,1,Marianne Denicourt,"Paris, France",2.0
,2005-07-31,,1,Yassie Hawkes,,317.0
,,,0,Donald Watkins,,552.0
Samuel Davis is an actor.,,,2,Samuel Davis,,114.0
,,,0,Benjamin A. Onyango,,634.0
"Lucy Fry is an Australian actress best know for portraying Zoey in Lightening Point and Lyla in the popular spin-off to H20: Just Add Water, Mako Mermaids. In 2013 she was cast as Lissa Dragomir in the highly anticipated film Vampire Academy: Blood Sister. She has also been in numerous theater productions since 2007.",1992-03-13,,0,Lucy Fry,,206.0
,,,0,Purab Kohli,,12.0
